subassembly,class,part_id,description,mpn,vendor,vendor_url,alt_mpn,alt_url,qty_per_robot,unit_cost_usd,total_cost_usd,material,process,tolerance_finish,lead_time_days,priced_as_of,notes,team_ref
arm,machined,CNC_arm02_shoulder_roll_back_bearing,Shoulder Bearing Retainer,,,,,,2,99.24,,,CNC,,,2026-09-19,"Team BOM C23: ""Shoulder Bearing Retainer"", 2 off.",C23
arm,machined,CNC_arm03_shoulder_roll_output_shaft,Shoulder Shaft,,,,,,2,31.72,,,CNC,,,2026-09-19,"Team BOM C24: ""Shoulder Shaft"", 2 off.",C24
arm,machined,CNC_arm04_shoulder_roll_support_shaft,Shoulder/Elbow Support,,,,,,4,57.56,,,CNC,,,2026-09-19,"Team BOM C25: ""Shoulder/Elbow Support"", 4 off. MATCHED ON NAME AND QUANTITY ONLY: the quote prices this part (CNC_arm04_x4_shoulder_roll_support_shaft) at 28.78 each for 4, exactly half the team BOM's 57.56 each for 4. Which of the two unit prices holds is UNVERIFIED; the team BOM's is used here.",C25
arm,machined,CNC_arm05_RS02_shaft_bearing,RS02 shaft bearing,,,,,,,,,,CNC,,,,"Not in the team BOM (Duke_Humanoid_V2_BOM_WIP.xlsx, 2026-09-19): no price and no quantity from it. In Fusion this part is the SLS nylon `3DP_arm05_RS02_shaft_bearing_retainer` (see Printed parts).",
arm,machined,CNC_arm06_RS02_shaft_coupler,RS02 shaft coupler,,,,,,,,,,CNC,,,,"Not in the team BOM (Duke_Humanoid_V2_BOM_WIP.xlsx, 2026-09-19): no price and no quantity from it. In Fusion this part is the SLS nylon `3DP_arm06_RS02_shaft_coupler` (see Printed parts).",
arm,machined,CNC_arm07_elbow_front_bearing,Elbow Motor Bracket,,,,,,2,57.94,,,CNC,,,2026-09-19,"Team BOM C28: ""Elbow Motor Bracket"", 2 off.",C28
arm,machined,CNC_arm08_elbow_back_bearing,Elbow Bearing Retainer,,,,,,2,65.65,,,CNC,,,2026-09-19,"Team BOM C29: ""Elbow Bearing Retainer"", 2 off.",C29
arm,machined,CNC_arm09_elbow_output_shaft,Elbow Shaft,,,,,,2,31.42,,,CNC,,,2026-09-19,"Team BOM C26: ""Elbow Shaft"", 2 off.",C26
arm,machined,CNC_arm10_r03_back_cover,Shoulder/Elbow Coupler,,,,,,4,54.25,,,CNC,,,2026-09-19,"Team BOM C27: ""Shoulder/Elbow Coupler"", 4 off. The team BOM calls it a coupler, the CAD name is a back cover; price and quantity are the quote's CNC_arm10_x4_r03_back_cover exactly. UNVERIFIED.",C27
arm,machined,CNC_arm11_wrist_roll,wrist roll,,,,,,,,,,CNC,,,,"Not in the team BOM (Duke_Humanoid_V2_BOM_WIP.xlsx, 2026-09-19): no price and no quantity from it. In Fusion this part is the SLS nylon `3DP_arm11_wrist_roll` (see Printed parts).",
arm,machined,CNC_arm12_wrist_pitch,wrist pitch,,,,,,,,,,CNC,,,,"Not in the team BOM (Duke_Humanoid_V2_BOM_WIP.xlsx, 2026-09-19): no price and no quantity from it. Not in the Fusion model either: no CAD file, no mass.",
arm,machined,CNC_arm13_RS05_shaft_coupler,RS05 shaft coupler,,,,,,,,,,CNC,,,,"Not in the team BOM (Duke_Humanoid_V2_BOM_WIP.xlsx, 2026-09-19): no price and no quantity from it. In Fusion it is the gripper's machined mounting flange inside `dovetail_umi_gripper` (the code repo's `cnc_flange`, Aluminium 6061).",
body,machined,CNC_body01_bottom_plate,Body Plate - Bottom,,,,,,1,64.03,,,CNC,,,2026-09-19,"Team BOM C1: ""Body Plate - Bottom"", 1 off.",C1
body,machined,CNC_body02_side_plate,Body Plate - Side,,,,,,2,109.14,,,CNC,,,2026-09-19,"Team BOM C2: ""Body Plate - Side"", 2 off.",C2
body,machined,CNC_body03_top_plate,Body Plate - Top,,,,,,1,64.53,,,CNC,,,2026-09-19,"Team BOM C0: ""Body Plate - Top"", 1 off.",C0
body,machined,CNC_body04_front_plate,Body Plate - Front/Back,,,,,,4,47.08,,,CNC,,,2026-09-19,"Team BOM C3: ""Body Plate - Front/Back"", 4 off.",C3
