subassembly,class,part_id,description,mpn,vendor,vendor_url,alt_mpn,alt_url,qty_per_robot,unit_cost_usd,total_cost_usd,material,process,tolerance_finish,lead_time_days,priced_as_of,notes,team_ref
arm,printed,3DP_armP09_shoulder_yaw_cover_a,"Shoulder-yaw cover A (Fusion `Component36`, material `shoulder_yaw_protection`)",,,,,,4,0.29087187,,TPU,FDM,,,2026-09-19,"Team BOM P35 ""Arm Roll Protection - Front, TPU"" x4; P36 ""Arm Roll Protection - Back, TPU"" x4. Booklet p.10 labels P35 twice and P36 twice on one arm: four curved covers, which is 4 pieces per line over two arms and the 4 occurrences of each Fusion half of the two-piece cover `shoulder_yaw_protection`, placed twice per arm. Which Fusion half is Front and which is Back is UNVERIFIED; the booklet draws both P35 at the shoulder end and both P36 at the forearm end, so the lines may split by joint rather than by half. Team BOM weight 0.008313 and price per unit weight 34.99; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 8.3 g, which equals the Fusion mass of the component (8.3 g). Fusion component `Component36`, material `shoulder_yaw_protection`, 4 occurrence(s), 8.3 g each in CAD.","P35, P36"
arm,printed,3DP_armP10_shoulder_yaw_cover_b,"Shoulder-yaw cover B (Fusion `Component37`, material `shoulder_yaw_protection`)",,,,,,4,0.29087187,,TPU,FDM,,,2026-09-19,"Team BOM P35 ""Arm Roll Protection - Front, TPU"" x4; P36 ""Arm Roll Protection - Back, TPU"" x4. Booklet p.10 labels P35 twice and P36 twice on one arm: four curved covers, which is 4 pieces per line over two arms and the 4 occurrences of each Fusion half of the two-piece cover `shoulder_yaw_protection`, placed twice per arm. Which Fusion half is Front and which is Back is UNVERIFIED; the booklet draws both P35 at the shoulder end and both P36 at the forearm end, so the lines may split by joint rather than by half. Team BOM weight 0.008313 and price per unit weight 34.99; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 8.3 g, which equals the Fusion mass of the component (8.3 g). Fusion component `Component37`, material `shoulder_yaw_protection`, 4 occurrence(s), 8.3 g each in CAD.","P35, P36"
arm,printed,3DP_armP11_shoulder_yaw_cover_c,Shoulder-yaw cover C: the own body of the Fusion `shoulder_yaw_protection` cover group (role not labelled in CAD),,,,,,4,0.29087187,,TPU,FDM,,,2026-09-19,"Team BOM P35 ""Arm Roll Protection - Front, TPU"" x4; P36 ""Arm Roll Protection - Back, TPU"" x4. Booklet p.10 labels P35 twice and P36 twice on one arm: four curved covers, which is 4 pieces per line over two arms and the 4 occurrences of each Fusion half of the two-piece cover `shoulder_yaw_protection`, placed twice per arm. Which Fusion half is Front and which is Back is UNVERIFIED; the booklet draws both P35 at the shoulder end and both P36 at the forearm end, so the lines may split by joint rather than by half. Team BOM weight 0.008313 and price per unit weight 34.99; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 8.3 g, which cannot be checked against the export: the Fusion mass (19.2 g) includes 2 child component(s) and the component's own mass is not exported. Fusion component `shoulder_yaw_protection`, material `shoulder_yaw_protection`, 4 occurrence(s), 19.2 g each in CAD. The Fusion component carries 2 child component(s): its CAD mass includes them.","P35, P36"
arm,printed,3DP_arm06_RS02_shaft_coupler,RS02 shaft coupler (with M3 heat-set inserts),,,,,,2,6.452501739,,Nylon 12,SLS,,,2026-09-19,"Team BOM P5 ""Elbow Shaft Coupler, Nylon 12"" x2. Booklet p.9: the square coupler block between the shoulder cone and the elbow actuator, one per arm. The weight (64.6 g) is this part's STL volume in part-properties.csv (63.67 cm3) at the density the other Nylon 12 lines imply (1.014 g/cm3); the Fusion mass, 67.5 g, includes the component's 6 child components. Team BOM weight 0.064589607 and price per unit weight 99.9; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 64.6 g, which cannot be checked against the export: the Fusion mass (67.5 g) includes 6 child component(s) and the component's own mass is not exported. Fusion component `3DP_arm06_x4_RS02_shaft_coupler`, material `Nylon 12 (with Formlabs Fuse 1 3D Printer)`, 2 occurrence(s), 67.5 g each in CAD. The Fusion component carries 6 child component(s): its CAD mass includes them.",P5
body,printed,3DP_body05_interior_plate,Torso interior plate (carries the electronics),,,,,,1,3.960129075,,PLA,FDM,,,2026-09-19,"Team BOM P0 ""PC Mount, PLA"" x1. Booklet p.1: the one printed interior spine that stands inside the torso frame and carries the computer, which is this component. Its weight cannot be checked against the export (see below). Team BOM weight 0.3175725 and price per unit weight 12.47; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 317.6 g, which cannot be checked against the export: the Fusion mass (4637.4 g) includes 36 child component(s) and the component's own mass is not exported. Fusion component `3DP_body_05_x1_interior_plate`, material `PLA (for Bambu H2D) (1)`, 1 occurrence(s), 4637.4 g each in CAD. The Fusion component carries 36 child component(s): its CAD mass includes them.",P0
body,printed,3DP_body06_front_plate,Torso front plate,,,,,,1,0.921383784,,PLA,FDM,,,2026-09-19,"Team BOM P1 ""Body Cover, PLA"" x2. Booklet p.3: two identical window frames, one on the front face of the torso and one on the back, which is this line's 2 pieces. Its weight (73.888 g) is the CAD mass of the front plate (73.9 g); the back plate is 73.2 g and is priced at the same rate here. MATERIAL CONFLICT: the team BOM says PLA, Fusion says `ABS Plastic 60%infill` (ABS, 60 % infill). UNVERIFIED. Team BOM weight 0.073888034 and price per unit weight 12.47; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 73.9 g, which equals the Fusion mass of the component (73.9 g). Fusion component `3DP_body_06_x1_front_plate_fixed`, material `ABS Plastic 60%infill`, 1 occurrence(s), 73.9 g each in CAD.",P1
body,printed,3DP_body07_front_plate_removable,"Torso front plate, removable",,,,,,1,1.208051027,,PLA,FDM,,,2026-09-19,"Team BOM P2 ""Front Plate, PLA"" x1. Booklet p.3: one of the two perforated removable panels of the torso; which face is the front is settled by the weight, not by the drawing. MATERIAL CONFLICT: the team BOM says PLA, Fusion says `ABS Plastic 60%infill` (ABS, 60 % infill). UNVERIFIED. Team BOM weight 0.096876586 and price per unit weight 12.47; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 96.9 g, which equals the Fusion mass of the component with its 8 child component(s) (96.9 g). Fusion component `3DP_body_07_x1_front_plate_removable`, material `ABS Plastic 60%infill`, 1 occurrence(s), 96.9 g each in CAD. The Fusion component carries 8 child component(s): its CAD mass includes them.",P2
body,printed,3DP_body09_back_plate_removable,"Torso back plate, removable",,,,,,1,1.419210588,,PLA,FDM,,,2026-09-19,"Team BOM P3 ""Back Plate, PLA"" x1. Booklet p.3: the other perforated removable panel of the torso. MATERIAL CONFLICT: the team BOM says PLA, Fusion says `ABS Plastic 60%infill` (ABS, 60 % infill). UNVERIFIED. Team BOM weight 0.113809991 and price per unit weight 12.47; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 113.8 g, which equals the Fusion mass of the component with its 14 child component(s) (113.8 g). Fusion component `3DP_body_09_x1_back_plate_removable`, material `ABS Plastic 60%infill`, 1 occurrence(s), 113.8 g each in CAD. The Fusion component carries 14 child component(s): its CAD mass includes them.",P3
body,printed,3DP_body08_back_plate,Torso back plate,,,,,,1,0.921383784,,PLA,FDM,,,2026-09-19,"Team BOM P1 ""Body Cover, PLA"" x2. Booklet p.3: two identical window frames, one on the front face of the torso and one on the back, which is this line's 2 pieces. Its weight (73.888 g) is the CAD mass of the front plate (73.9 g); the back plate is 73.2 g and is priced at the same rate here. MATERIAL CONFLICT: the team BOM says PLA, Fusion says `ABS Plastic 60%infill` (ABS, 60 % infill). UNVERIFIED. Team BOM weight 0.073888034 and price per unit weight 12.47; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 73.9 g, which does NOT equal the Fusion mass of the component (73.2 g). UNVERIFIED. Fusion component `3DP_body_08_x1_back_plate_fixed`, material `ABS Plastic 60%infill`, 1 occurrence(s), 73.2 g each in CAD.",P1
leg,printed,3DP_legP01_hip3_cover_a,"Hip-yaw cover A (Fusion `Component194`, material `hip3_protection`)",,,,,,3,1.08797906,,TPU,FDM,,,2026-09-19,"Team BOM P20 ""Hip 1 Protection - A, TPU"" x2; P21 ""Hip 1 Protection - B, TPU"" x2; P24 ""Hip 3 Protection - A, TPU"" x2; P25 ""Hip 3 Protection - B, TPU"" x2. Booklet p.6 draws four curved vented covers on one leg, over the hip-1 and the hip-3 motor: four lines of 2 = 8 pieces, which is the 8 occurrences of the four Fusion `hip3_protection` components (3, 3, 1, 1, the last pair mirrored). In the 2026-09-19 export those four are one two-piece design (identical mass and box) placed at four motors, all named `hip_pitch_motor`, while the booklet's four covers do not all look alike. Whether Hip 1 has a cover of its own, which line is which cover, and which pair is Hip 1, are UNVERIFIED. Team BOM weight 0.031094 and price per unit weight 34.99; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 31.1 g, which equals the Fusion mass of the component (31.1 g). Fusion component `Component194`, material `hip3_protection`, 3 occurrence(s), 31.1 g each in CAD.","P20, P21, P24, P25"
leg,printed,3DP_legP02_hip3_cover_b,"Hip-yaw cover B (Fusion `Component195`, material `hip3_protection`)",,,,,,3,1.08797906,,TPU,FDM,,,2026-09-19,"Team BOM P20 ""Hip 1 Protection - A, TPU"" x2; P21 ""Hip 1 Protection - B, TPU"" x2; P24 ""Hip 3 Protection - A, TPU"" x2; P25 ""Hip 3 Protection - B, TPU"" x2. Booklet p.6 draws four curved vented covers on one leg, over the hip-1 and the hip-3 motor: four lines of 2 = 8 pieces, which is the 8 occurrences of the four Fusion `hip3_protection` components (3, 3, 1, 1, the last pair mirrored). In the 2026-09-19 export those four are one two-piece design (identical mass and box) placed at four motors, all named `hip_pitch_motor`, while the booklet's four covers do not all look alike. Whether Hip 1 has a cover of its own, which line is which cover, and which pair is Hip 1, are UNVERIFIED. Team BOM weight 0.031094 and price per unit weight 34.99; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 31.1 g, which equals the Fusion mass of the component (31.1 g). Fusion component `Component195`, material `hip3_protection`, 3 occurrence(s), 31.1 g each in CAD.","P20, P21, P24, P25"
leg,printed,3DP_legP03_hip3_cover_c,"Hip-yaw cover C (Fusion `Component198`, material `hip3_protection`)",,,,,,1,1.08797906,,TPU,FDM,,,2026-09-19,"Team BOM P20 ""Hip 1 Protection - A, TPU"" x2; P21 ""Hip 1 Protection - B, TPU"" x2; P24 ""Hip 3 Protection - A, TPU"" x2; P25 ""Hip 3 Protection - B, TPU"" x2. Booklet p.6 draws four curved vented covers on one leg, over the hip-1 and the hip-3 motor: four lines of 2 = 8 pieces, which is the 8 occurrences of the four Fusion `hip3_protection` components (3, 3, 1, 1, the last pair mirrored). In the 2026-09-19 export those four are one two-piece design (identical mass and box) placed at four motors, all named `hip_pitch_motor`, while the booklet's four covers do not all look alike. Whether Hip 1 has a cover of its own, which line is which cover, and which pair is Hip 1, are UNVERIFIED. Team BOM weight 0.031094 and price per unit weight 34.99; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 31.1 g, which equals the Fusion mass of the component (31.1 g). Fusion component `Component198`, material `hip3_protection`, 1 occurrence(s), 31.1 g each in CAD.","P20, P21, P24, P25"
leg,printed,3DP_legP04_hip3_cover_d,"Hip-yaw cover D (Fusion `Component199`, material `hip3_protection`)",,,,,,1,1.08797906,,TPU,FDM,,,2026-09-19,"Team BOM P20 ""Hip 1 Protection - A, TPU"" x2; P21 ""Hip 1 Protection - B, TPU"" x2; P24 ""Hip 3 Protection - A, TPU"" x2; P25 ""Hip 3 Protection - B, TPU"" x2. Booklet p.6 draws four curved vented covers on one leg, over the hip-1 and the hip-3 motor: four lines of 2 = 8 pieces, which is the 8 occurrences of the four Fusion `hip3_protection` components (3, 3, 1, 1, the last pair mirrored). In the 2026-09-19 export those four are one two-piece design (identical mass and box) placed at four motors, all named `hip_pitch_motor`, while the booklet's four covers do not all look alike. Whether Hip 1 has a cover of its own, which line is which cover, and which pair is Hip 1, are UNVERIFIED. Team BOM weight 0.031094 and price per unit weight 34.99; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 31.1 g, which equals the Fusion mass of the component (31.1 g). Fusion component `Component199`, material `hip3_protection`, 1 occurrence(s), 31.1 g each in CAD.","P20, P21, P24, P25"
leg,printed,3DP_legP05_hip2_cover_a,"Hip-roll cover A (Fusion `Component196`, material `hip2_protection`)",,,,,,2,0.90841038,,TPU,FDM,,,2026-09-19,"Team BOM P22 ""Hip 2 Protection - A, TPU"" x2; P23 ""Hip 2 Protection - B, TPU"" x2. Booklet p.6: the two curved covers around the hip-2 motor of one leg, which are the two Fusion components on `hip_roll_motor` (material `hip2_protection`, 2 occurrences each). Which line is A and which is B is UNVERIFIED. Team BOM weight 0.025962 and price per unit weight 34.99; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 26.0 g, which equals the Fusion mass of the component (26.0 g). Fusion component `Component196`, material `hip2_protection`, 2 occurrence(s), 26.0 g each in CAD.","P22, P23"
leg,printed,3DP_legP06_hip2_cover_b,"Hip-roll cover B (Fusion `Component197`, material `hip2_protection`)",,,,,,2,0.90841038,,TPU,FDM,,,2026-09-19,"Team BOM P22 ""Hip 2 Protection - A, TPU"" x2; P23 ""Hip 2 Protection - B, TPU"" x2. Booklet p.6: the two curved covers around the hip-2 motor of one leg, which are the two Fusion components on `hip_roll_motor` (material `hip2_protection`, 2 occurrences each). Which line is A and which is B is UNVERIFIED. Team BOM weight 0.025962 and price per unit weight 34.99; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 26.0 g, which equals the Fusion mass of the component (26.0 g). Fusion component `Component197`, material `hip2_protection`, 2 occurrence(s), 26.0 g each in CAD.","P22, P23"
leg,printed,3DP_legP07_knee_cover_a,"Knee cover A (Fusion `Component44`, material `knee protection`)",,,,,,2,0.91530341,,TPU,FDM,,,2026-09-19,"Team BOM P26 ""Knee Protection - A, TPU"" x2; P27 ""Knee Protection - B, TPU"" x2. Booklet p.6: the two curved covers around the knee motor of one leg, which are the two Fusion components on `knee_motor` (2 occurrences each). Which line is A and which is B is UNVERIFIED. Team BOM weight 0.026159 and price per unit weight 34.99; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 26.2 g, which equals the Fusion mass of the component (26.2 g). Fusion component `Component44`, material `knee protection`, 2 occurrence(s), 26.2 g each in CAD.","P26, P27"
leg,printed,3DP_legP08_knee_cover_b,"Knee cover B (Fusion `Component45`, material `knee protection`)",,,,,,2,0.91530341,,TPU,FDM,,,2026-09-19,"Team BOM P26 ""Knee Protection - A, TPU"" x2; P27 ""Knee Protection - B, TPU"" x2. Booklet p.6: the two curved covers around the knee motor of one leg, which are the two Fusion components on `knee_motor` (2 occurrences each). Which line is A and which is B is UNVERIFIED. Team BOM weight 0.026159 and price per unit weight 34.99; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 26.2 g, which equals the Fusion mass of the component (26.2 g). Fusion component `Component45`, material `knee protection`, 2 occurrence(s), 26.2 g each in CAD.","P26, P27"
leg,printed,3DP_legP09_shank_cover_a,"Shank cover A (Fusion `Component42` in the lower body, material `shank protection`)",,,,,,2,1.56454286,,TPU,FDM,,,2026-09-19,"Team BOM P28 ""Shank Protection, TPU"" x4. Booklet p.6 labels P28 twice on one leg: the two long flat straps, one on each side of the shank, which is this line's 4 pieces over two legs. The Fusion tree carries the pair on the right leg only (1 occurrence each), so the CAD is short of the booklet, not the team BOM. Team BOM weight 0.044714 and price per unit weight 34.99; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 44.7 g, which equals the Fusion mass of the component (44.7 g). Quantity is the robot's (2), not the model's: the Fusion model places 1 (right leg only); the team BOM and the other leg covers give both legs. Fusion component `Component42`, material `shank protection`, 2 occurrence(s), 44.7 g each in CAD.",P28
leg,printed,3DP_legP10_shank_cover_b,"Shank cover B (Fusion `Component43` in the lower body, material `shank protection`)",,,,,,2,1.56454286,,TPU,FDM,,,2026-09-19,"Team BOM P28 ""Shank Protection, TPU"" x4. Booklet p.6 labels P28 twice on one leg: the two long flat straps, one on each side of the shank, which is this line's 4 pieces over two legs. The Fusion tree carries the pair on the right leg only (1 occurrence each), so the CAD is short of the booklet, not the team BOM. Team BOM weight 0.044714 and price per unit weight 34.99; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 44.7 g, which equals the Fusion mass of the component (44.7 g). Quantity is the robot's (2), not the model's: the Fusion model places 1 (right leg only); the team BOM and the other leg covers give both legs. Fusion component `Component43`, material `shank protection`, 2 occurrence(s), 44.7 g each in CAD.",P28
leg,printed,3DP_legP11_ankle_cover_a,"Ankle cover A on the ankle-roll motor (Fusion `Component46`, material `ANKLE_1_PROTECTION`)",,,,,,2,0.58401809,,TPU,FDM,,,2026-09-19,"Team BOM P29 ""Foot Protection - Top, TPU"" x2; P30 ""Foot Protection - Bot, TPU"" x2. Booklet p.6: the two curved covers around the ankle-roll motor of one leg, which are the two Fusion components on `ankle_roll_motor` (material `ANKLE_1_PROTECTION`, 2 occurrences each). The team BOM calls them Foot Protection Top and Bot; they sit on the ankle, not on the foot. Which line is Top and which is Bot is UNVERIFIED. Material from the team BOM line only; the Fusion material name `ANKLE_1_PROTECTION` is not a print material. Team BOM weight 0.016691 and price per unit weight 34.99; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 16.7 g, which equals the Fusion mass of the component (16.7 g). Fusion component `Component46`, material `ANKLE_1_PROTECTION`, 2 occurrence(s), 16.7 g each in CAD.","P29, P30"
