team_ref,item,category,part_id,qty_team,qty_cad,booklet_page,evidence,status
C3,Body Plate - Front/Back,CNC,CNC_body04_front_plate,4,4,p.1,Booklet p.1: four identical cross braces between the plates.,settled
C4,Robstride 03 Bearing Retainer,CNC,CNC_leg03_RS03_shaft_bearing_retainer,5,5,"p.4, p.5","Booklet p.4, p.5: the toothed ring in front of the H0 bearing on the output of the waist actuator (p.4, the unlabelled actuator marked Body) and of the hip-1 (p.4) and hip-3 (p.5) actuator of each leg: five positions, which is this line's count.",settled
C5,Robstride 03 Output Shaft,CNC,CNC_leg02_RS03_shaft_coupler,7,7,"p.4, p.5, p.9","Booklet p.4, p.5, p.9: the square coupler plate on the output of the same five RS03 joints (waist, hip 1 and hip 3 of each leg) and of the shoulder-1 RS03 of each arm: seven positions, which is this line's count.",settled
C6,Hip 1 Motor Bracket,CNC,CNC_leg01_hip_center_back,2,2,p.4,"Booklet p.4: the ring bracket carrying the hip-1 actuator, one per leg.",settled
C7,Hip 2 Motor Bracket,CNC,CNC_leg04_hip_roll_front_bearing_retainer,2,2,p.4,"Booklet p.4: the flanged ring in front of the hip-2 actuator, one per leg.",settled
C8,Hip 2 Bearing Retainer,CNC,CNC_leg05_hip_roll_back_bearing_retainer,2,2,p.4,"Booklet p.4: the forked bracket behind the hip-2 actuator, one per leg.",settled
C9,Hip 3 Output Shaft,CNC,CNC_leg06_hip_roll_output_shaft,2,2,p.5,"Booklet p.5: the shaft arm on the driven side of the hip-3 joint, one per leg.",settled
C10,Hip 3 Supporting Shaft,CNC,CNC_leg07_hip_roll_support_shaft,2,2,p.5,"Booklet p.5: the shaft arm on the support side of the hip-3 joint, one per leg.",settled
C11,Knee Motor Bracket,CNC,CNC_leg08_knee_front_bearing_retainer,2,2,p.5,"Booklet p.5: the ring bracket in front of the knee actuator, one per leg.",settled
C12,Knee Bearing Retainer,CNC,CNC_leg09_knee_motor_back_cover,2,2,p.5,"Booklet p.5: the round cover behind the knee actuator, one per leg.",settled
C13,Shank Shaft,CNC,CNC_leg10_knee_output_shank,2,2,p.5,"Booklet p.5: the long shank arm on the driven side, one per leg.",settled
C14,Shank Support,CNC,CNC_leg11_knee_support_shank,2,2,p.5,"Booklet p.5: the long shank arm on the support side, one per leg.",settled
C15,Shank Joint Cap,CNC,CNC_leg12_lower_leg_bearing,4,4,p.5,"Booklet p.5: two small rings at the lower end of the shank arms, two per leg, which is this line's 4.",settled
C16,Ankle Motor Bracket,CNC,CNC_leg13_ankle_pitch_front,2,2,p.5,"Booklet p.5: the ring bracket at the ankle-pitch joint, one per leg.",settled
C17,Ankle Bearing Retainer,CNC,CNC_leg14_ankle_pitch_back,2,2,p.5,"Booklet p.5: the forked retainer behind the ankle-pitch actuator, one per leg.",settled
C18,Robstride 06 Bearing Retainer,CNC,CNC_leg15_RS06_shaft_bearing_retainer,2,2,p.5,"Booklet p.5: the ring on the RS06 ankle-roll actuator, one per leg.",settled
C19,Foot Shaft,CNC,CNC_leg16_ankle_roll_output_shaft,2,2,p.5,"Booklet p.5: the short shaft arm on the driven side of the ankle roll, one per leg.",settled
C20,Foot Support,CNC,CNC_leg17_ankle_roll_support_shaft,2,2,p.5,"Booklet p.5: the short shaft arm on the support side of the ankle roll, one per leg.",settled
C21,Foot,CNC,CNC_leg18_foot_plate,2,2,p.5,"Booklet p.5: the flat foot plate, one per leg.",settled
C22,Shoulder Motor Bracket,CNC,CNC_arm01_shoulder_roll_front_bearing,2,2,p.9,"Booklet p.9: the ring plate in front of the shoulder-roll actuator, one per arm.",settled
C23,Shoulder Bearing Retainer,CNC,CNC_arm02_shoulder_roll_back_bearing,2,2,p.9,"Booklet p.9: the forked retainer behind the shoulder-roll actuator, one per arm.",settled
C24,Shoulder Shaft,CNC,CNC_arm03_shoulder_roll_output_shaft,2,2,p.9,"Booklet p.9: the flat shaft bracket at the shoulder, one per arm.",settled
C25,Shoulder/Elbow Support,CNC,CNC_arm04_shoulder_roll_support_shaft,4,4,p.9,"Booklet p.9: the same rectangular bracket twice per arm, once at the shoulder and once at the elbow, which is this line's name and its count of 4. OPEN: Unit price: the team BOM's 57.56 is exactly twice the retired machining quote's 28.78 for the same part. A drawing cannot price a part.",open
C26,Elbow Shaft,CNC,CNC_arm09_elbow_output_shaft,2,2,p.9,"Booklet p.9: the flat shaft bracket at the elbow, one per arm.",settled
C27,Shoulder/Elbow Coupler,CNC,CNC_arm10_r03_back_cover,4,4,p.9,"Booklet p.9: the same round dished cover twice per arm, one in the shoulder joint stack and one in the elbow joint stack, which is this line's name and its count of 4.",settled
C28,Elbow Motor Bracket,CNC,CNC_arm07_elbow_front_bearing,2,2,p.9,"Booklet p.9: the ring plate in front of the elbow actuator, one per arm.",settled
C29,Elbow Bearing Retainer,CNC,CNC_arm08_elbow_back_bearing,2,2,p.9,"Booklet p.9: the forked retainer behind the elbow actuator, one per arm.",settled
P0,"PC Mount, PLA",3DP,3DP_body05_interior_plate,1,1,p.1,"Booklet p.1: the interior spine that stands inside the torso frame, one off.",settled
P1,"Body Cover, PLA",3DP,3DP_body06_front_plate 3DP_body08_back_plate,2,2,p.3,"Booklet p.3: two identical window frames, one on the front face and one on the back. This line covers 2 CAD parts; `qty_cad` is their total.",settled
P2,"Front Plate, PLA",3DP,3DP_body07_front_plate_removable,1,1,p.3,Booklet p.3: the perforated removable panel on one face of the torso.,settled
P3,"Back Plate, PLA",3DP,3DP_body09_back_plate_removable,1,1,p.3,Booklet p.3: the perforated removable panel on the other face of the torso.,settled
P4,"Arm Shaft Cover, Nylon 12",3DP,3DP_arm05_RS02_shaft_bearing_retainer,4,4,p.9,"Booklet p.9: the cone on the output of the first and of the third RS02 actuator of the arm (shoulder_3 and wrist_1), two per arm.",settled
P5,"Elbow Shaft Coupler, Nylon 12",3DP,3DP_arm06_RS02_shaft_coupler,2,2,p.9,"Booklet p.9: the square coupler block between the shoulder cone and the elbow actuator, one per arm.",settled
P6,"Wrist Shaft, Nylon 12",3DP,3DP_arm11_wrist_roll,2,2,p.9,"Booklet p.9: the barrel at the wrist roll, one per arm.",settled
P7,"Wrist Housing R, Nylon 12",3DP,3DP_arm14_wrist_block,1,2,p.9,Booklet p.9: the wrist housing of the arm drawn on p.9. One of 2 team BOM lines over 1 CAD parts; `part_id` and `qty_cad` are that group's.,settled
P8,"Wrist Output, Nylon 12",3DP,3DP_arm15_end_effector_attachment,2,2,p.9,"Booklet p.9: the end-effector plate below the wrist, one per arm.",settled
P9,"Wrist Housing L, Nylon 12",3DP,3DP_arm14_wrist_block,1,2,p.11,Booklet p.11: the wrist housing of the mirrored arm: the same shape as P7 on p.9. One of 2 team BOM lines over 1 CAD parts; `part_id` and `qty_cad` are that group's.,settled
P10,"Gripper Housing, PLA",3DP,3DP_grip01_base,2,2,p.13,"Booklet p.13: the gripper body, one per gripper.",settled
P11,"Gripper Rack, PLA",3DP,3DP_grip03_rail,4,4,p.13,"Booklet p.13: the long slide arm with the rack teeth cut along it, two per gripper.",settled
P12,"Gear, Nylon 12",3DP,3DP_grip05_pinion,2,2,p.13,"Booklet p.13: the double-helix pinion on the servo, one per gripper.",settled
P13,"UMI Fingers, TPU",3DP,3DP_grip02_finger,4,4,p.13,"Booklet p.13: the curved ribbed finger pad, two per gripper.",settled
P14,"AprilTag Housing, PLA",3DP,3DP_grip04_apriltag_holder,4,4,p.13,"Booklet p.13: the flat tag holder, two per gripper.",settled
P15,"AprilTags, PLA",3DP,3DP_grip06_apriltag_tile,12,16,p.13,"Booklet p.13: eight square tiles per gripper, at six label positions (two of them point at a pair): sixteen for two grippers, against this line's 12.",settled
P16,"Gimbal Base, PLA",3DP,3DP_cam01_gimbal_mount,2,2,p.14,Booklet p.14: the wide tripod base at the foot of the column.,settled
P17,"Gimbal Neck, PLA",3DP,3DP_cam02_gimbal_neck,2,2,p.14,Booklet p.14: the neck above the lower gimbal actuator.,settled
P18,"Gimbal Shaft, PLA",3DP,3DP_cam03_gimbal_arm,2,2,p.14,"Booklet p.14: the thicker of the two gimbal arms: bent, ending in the bolt-circle pad that sits on the actuator face.",settled
P19,"Gimbal Support, PLA",3DP,3DP_cam04_gimbal_arm_link,2,2,p.14,"Booklet p.14: the thinner of the two gimbal arms: flat, ending in a plain disc beside the H5 bearing.",settled
P20,"Hip 1 Protection - A, TPU",3DP,3DP_legP01_hip3_cover_a 3DP_legP02_hip3_cover_b 3DP_legP03_hip3_cover_c 3DP_legP04_hip3_cover_d,2,8,p.6,"Booklet p.6: one of the four curved vented covers around the hip-1 and hip-3 motors of one leg. One of 4 team BOM lines over 4 CAD parts; `part_id` and `qty_cad` are that group's. OPEN: Which of the four hip covers this line is, and whether Hip 1 has a cover of its own: the booklet draws four covers over two motors that do not all look alike, the 2026-09-19 CAD holds one two-piece design for all eight pieces, and neither names a line.",open
P21,"Hip 1 Protection - B, TPU",3DP,3DP_legP01_hip3_cover_a 3DP_legP02_hip3_cover_b 3DP_legP03_hip3_cover_c 3DP_legP04_hip3_cover_d,2,8,p.6,Booklet p.6: one of the four curved vented covers around the hip-1 and hip-3 motors of one leg. One of 4 team BOM lines over 4 CAD parts; `part_id` and `qty_cad` are that group's. OPEN: Which of the four hip covers this line is (see P20).,open
P22,"Hip 2 Protection - A, TPU",3DP,3DP_legP05_hip2_cover_a 3DP_legP06_hip2_cover_b,2,4,p.6,Booklet p.6: one of the two curved covers around the hip-2 motor of one leg. One of 2 team BOM lines over 2 CAD parts; `part_id` and `qty_cad` are that group's. OPEN: Which half of the hip-2 cover is A and which is B.,open
P23,"Hip 2 Protection - B, TPU",3DP,3DP_legP05_hip2_cover_a 3DP_legP06_hip2_cover_b,2,4,p.6,Booklet p.6: one of the two curved covers around the hip-2 motor of one leg. One of 2 team BOM lines over 2 CAD parts; `part_id` and `qty_cad` are that group's. OPEN: Which half of the hip-2 cover is A and which is B.,open
P24,"Hip 3 Protection - A, TPU",3DP,3DP_legP01_hip3_cover_a 3DP_legP02_hip3_cover_b 3DP_legP03_hip3_cover_c 3DP_legP04_hip3_cover_d,2,8,p.6,Booklet p.6: one of the four curved vented covers around the hip-1 and hip-3 motors of one leg. One of 4 team BOM lines over 4 CAD parts; `part_id` and `qty_cad` are that group's. OPEN: Which of the four hip covers this line is (see P20).,open
P25,"Hip 3 Protection - B, TPU",3DP,3DP_legP01_hip3_cover_a 3DP_legP02_hip3_cover_b 3DP_legP03_hip3_cover_c 3DP_legP04_hip3_cover_d,2,8,p.6,Booklet p.6: one of the four curved vented covers around the hip-1 and hip-3 motors of one leg. One of 4 team BOM lines over 4 CAD parts; `part_id` and `qty_cad` are that group's. OPEN: Which of the four hip covers this line is (see P20).,open
P26,"Knee Protection - A, TPU",3DP,3DP_legP07_knee_cover_a 3DP_legP08_knee_cover_b,2,4,p.6,Booklet p.6: one of the two curved covers around the knee motor of one leg. One of 2 team BOM lines over 2 CAD parts; `part_id` and `qty_cad` are that group's. OPEN: Which half of the knee cover is A and which is B.,open
P27,"Knee Protection - B, TPU",3DP,3DP_legP07_knee_cover_a 3DP_legP08_knee_cover_b,2,4,p.6,Booklet p.6: one of the two curved covers around the knee motor of one leg. One of 2 team BOM lines over 2 CAD parts; `part_id` and `qty_cad` are that group's. OPEN: Which half of the knee cover is A and which is B.,open
P28,"Shank Protection, TPU",3DP,3DP_legP09_shank_cover_a 3DP_legP10_shank_cover_b,4,4,p.6,"Booklet p.6: two long flat straps with an eye at each end, one on each side of the shank of one leg, which is this line's 4 over two legs. This line covers 2 CAD parts; `qty_cad` is their total.",settled
P29,"Foot Protection - Top, TPU",3DP,3DP_legP11_ankle_cover_a 3DP_legP12_ankle_cover_b,2,4,p.6,Booklet p.6: one of the two curved covers around the ankle-roll motor of one leg. One of 2 team BOM lines over 2 CAD parts; `part_id` and `qty_cad` are that group's. OPEN: Which half of the ankle-roll cover is Top and which is Bot.,open
P30,"Foot Protection - Bot, TPU",3DP,3DP_legP11_ankle_cover_a 3DP_legP12_ankle_cover_b,2,4,p.6,Booklet p.6: one of the two curved covers around the ankle-roll motor of one leg. One of 2 team BOM lines over 2 CAD parts; `part_id` and `qty_cad` are that group's. OPEN: Which half of the ankle-roll cover is Top and which is Bot.,open
P31,"Foot Protection - Front, TPU",3DP,3DP_leg20_foot_front,2,2,p.6,"Booklet p.6: the small teardrop cap at the front of the foot, one per leg.",settled
P32,"Foot Protection - Sole, TPU",3DP,3DP_leg19_sole,2,2,p.6,"Booklet p.6: the wedge sole under the foot plate, one per leg.",settled
P33,"Shoulder 2 Protection - A, TPU",3DP,3DP_armP07_shoulder_cover_e 3DP_armP08_shoulder_cover_f,2,4,p.10,Booklet p.10: one of the two curved covers around the shoulder-pitch motor of one arm. One of 2 team BOM lines over 2 CAD parts; `part_id` and `qty_cad` are that group's. OPEN: Which half of the shoulder-pitch cover is A and which is B.,open
P34,"Shoulder 2 Protection - B, TPU",3DP,3DP_armP07_shoulder_cover_e 3DP_armP08_shoulder_cover_f,2,4,p.10,Booklet p.10: one of the two curved covers around the shoulder-pitch motor of one arm. One of 2 team BOM lines over 2 CAD parts; `part_id` and `qty_cad` are that group's. OPEN: Which half of the shoulder-pitch cover is A and which is B.,open
P35,"Arm Roll Protection - Front, TPU",3DP,3DP_armP09_shoulder_yaw_cover_a 3DP_armP10_shoulder_yaw_cover_b 3DP_armP11_shoulder_yaw_cover_c,4,12,p.10,"Booklet p.10: two curved vented covers labelled P35 on one arm, both drawn at the shoulder end: with P36's two they are the four halves of the two-piece roll cover, which is this line's 4 over two arms. One of 2 team BOM lines over 3 CAD parts; `part_id` and `qty_cad` are that group's. OPEN: Which Fusion half is Front and which is Back; the booklet labels P35 twice at the shoulder end and P36 twice at the forearm end, so the two lines may split by joint rather than by half.",open
P36,"Arm Roll Protection - Back, TPU",3DP,3DP_armP09_shoulder_yaw_cover_a 3DP_armP10_shoulder_yaw_cover_b 3DP_armP11_shoulder_yaw_cover_c,4,12,p.10,"Booklet p.10: two curved vented covers labelled P36 on one arm, both drawn at the forearm end, which is this line's 4 over two arms. One of 2 team BOM lines over 3 CAD parts; `part_id` and `qty_cad` are that group's. OPEN: Which Fusion half is Front and which is Back (see P35).",open
P37,"Elbow Protection - A, TPU",3DP,3DP_armP01_elbow_cover_a 3DP_armP02_elbow_cover_b,2,4,p.10,Booklet p.10: one of the two curved covers around the elbow motor of one arm. One of 2 team BOM lines over 2 CAD parts; `part_id` and `qty_cad` are that group's. OPEN: Which half of the elbow cover is A and which is B.,open
P38,"Elbow Protection - B, TPU",3DP,3DP_armP01_elbow_cover_a 3DP_armP02_elbow_cover_b,2,4,p.10,Booklet p.10: one of the two curved covers around the elbow motor of one arm. One of 2 team BOM lines over 2 CAD parts; `part_id` and `qty_cad` are that group's. OPEN: Which half of the elbow cover is A and which is B.,open
P39,"Arm Roll Shaft Protection, TPU",3DP,3DP_armP03_shoulder_cover_a 3DP_armP04_shoulder_cover_b 3DP_armP05_shoulder_cover_c 3DP_armP06_shoulder_cover_d,8,8,p.10,"Booklet p.10: four smooth flat covers per arm, two on the shoulder-roll shaft and two on the elbow shaft: eight for two arms, which is this line's count. This line covers 4 CAD parts; `qty_cad` is their total.",settled
H0,45x58x7 Ball Bearing,Hardware,FAS_BEARING_45X58X7,13,,"p.1, p.4, p.5","Booklet p.1, p.4, p.5: the large bearing at the RS03 joints of the torso and of the legs.",settled
H1,50x65x7 Ball Bearing,Hardware,FAS_BEARING_50X65X7,2,,p.5,"Booklet p.5: the bearing at the knee joint, one per leg.",settled
H2,35x44x5 Ball Bearing,Hardware,FAS_BEARING_35X44X5,18,,"p.5, p.9","Booklet p.5, p.9: the bearings at the shank and at every arm joint.",settled
H3,35x47x7 6807-2RS Ball Bearing,Hardware,FAS_BEARING_35X47X7,4,,p.5,"Booklet p.5: the bearings at the ankle, two per leg.",settled
H4,30x37x4  6706-2RS Ball Bearing,Hardware,FAS_BEARING_30X37X4,2,,p.9,"Booklet p.9: the small bearing under the wrist housing, one per arm.",settled
H5,10x15x4 Ball Bearing,Hardware,FAS_BEARING_10X15X4,2,,p.14,"Booklet p.14: the small bearing on the support side of the gimbal, one per column.",settled
H6,M3x10 Torx Button Head Screw,Hardware,FAS_SCREW_M3X10_TORX_BH,5,,—,"Screws are not labelled in the booklet. OPEN: Quantity: the team BOM gives none, and screws are not labelled in the booklet.",open
H7,M4x8 Torx Button Head Screw,Hardware,FAS_SCREW_M4X8_TORX_BH,1,,—,"Screws are not labelled in the booklet. OPEN: Quantity: the team BOM gives none, and screws are not labelled in the booklet.",open
H8,M4x10 Torx Button Head Screw,Hardware,FAS_SCREW_M4X10_TORX_BH,4,,—,"Screws are not labelled in the booklet. OPEN: Quantity: the team BOM gives none, and screws are not labelled in the booklet.",open
E21,"USB-C right-angle adapter, camera cable to the D436",Electronics,EL_USBC_ADAPTER,2,,p.14,"Booklet p.14: the small angled connector between the camera and the arms, drawn with an unlabelled arrow. Site-added line E21 (2026-09-21): the Fusion component `U-joint_type_C_adapter v3`, one per camera column, drawn on booklet p.14 with an unlabelled arrow. Not in the team xlsx yet: no price, no vendor.",settled
